id;"user_id";"title";"author";"description";"still_there";"lat";"lng";"date";"confirmation_date"
1;"1";"Geometria dell'anima";"Mirco Marcacci";"";"1";"42.297";"12.5959";"1505469057000";"1510654178000"
2;"1";"Madonna con pistola";"Banksy";"";"1";"40.8517";"14.2587";"1505469283000";"1510654178000"
3;"1";"Zattera";"SWAN";"";"1";"45.1892";"7.88572";"1505469357000";"1510654178000"
4;"1";"Blind";"Millo";"";"1";"41.0984";"15.0014";"1505469410000";"1510654178000"
5;"1";"Men in the Smoke";"SeaCreative";"";"1";"45.8183";"8.825";"1505469483000";"1510654178000"
6;"1";"Love Seeker";"Millo";"";"1";"45.4608";"9.21142";"1505480037000";"1510654178000"
7;"1";"<Nessun titolo>";"Johannes Mundinger";"";"1";"52.4821";"13.3892";"1510654178000";"1510654178000"
8;"1";"Insomnia";"Millo";"";"1";"67.2839";"14.3809";"1510654178000";"1510654178000"
9;"1";"<Nessun titolo>";"1010";"";"1";"48.8191";"2.3718";"1510654178000";"1510654178000"
10;"1";"I Lost my Shoe when I Saw you";"Lonac";"";"1";"26.7131";"-80.0538";"1510654178000";"1510654178000"
11;"1";"<Nessun titolo>";"2501";"";"1";"45.5148";"9.36705";"1510654178000";"1510654178000"
12;"1";"<Nessun titolo>";"2Alas";"";"1";"28.0226";"-81.7311";"1510654178000";"1510654178000"
13;"1";"<Nessun titolo>";"2Alas";"";"1";"26.7121";"-80.054";"1510654178000";"1510654178000"
14;"1";"The city of the 4 cultures";"JAZ";"";"1";"42.0623";"-1.60344";"1510654178000";"1510654178000"
15;"1";"Incognito";"Above";"";"1";"-26.2065";"28.0665";"1510654178000";"1510654178000"
16;"1";"<Nessun titolo>";"Adnate";"";"1";"-35.8095";"145.453";"1510654178000";"1510654178000"
17;"1";"<Nessun titolo>";"Alexis Diaz";"";"1";"36.0625";"-94.1579";"1510654178000";"1510654178000"
18;"1";"Water";"Agostino Iacurci";"";"1";"50.5042";"30.4314";"1510654178000";"1510654178000"
19;"1";"My Neighbour Totoro";"Airborne Mark";"";"1";"51.539";"-0.142555";"1510654178000";"1510654178000"
20;"1";"<Nessun titolo>";"Alexandre Keto";"";"1";"51.4625";"-2.58717";"1510654178000";"1510654178000"
21;"1";"<Nessun titolo>";"Alexis Diaz and Borondo";"";"1";"18.4483";"-66.0663";"1510654178000";"1510654178000"
22;"1";"The Wings of the Butterfly";"Alexis Diaz";"";"1";"51.7748";"19.4657";"1510654178000";"1510654178000"
23;"1";"That Rain in The Evening";"Alex Senna";"";"1";"55.2312";"11.7642";"1510654178000";"1510654178000"
24;"1";"Six Stages of Banksia Baxteri";"Amok Island";"";"1";"-33.6581";"119.531";"1510654178000";"1510654178000"
25;"1";"Creeping and crawling";"Anet Ronen";"";"1";"29.7473";"-95.3594";"1510654178000";"1510654178000"
26;"1";"Just human";"AnimalitoLand";"";"1";"67.2824";"14.3781";"1510654178000";"1510654178000"
27;"1";"Equality";"Apolo Torres";"";"1";"41.2475";"13.5873";"1510654178000";"1510654178000"
28;"1";"Early White";"Artez and Nikola Mihajlovic";"";"1";"43.141";"20.5183";"1510654178000";"1510654178000"
29;"1";"Clones";"Aryz";"";"1";"42.3347";"-83.0309";"1510654178000";"1510654178000"
30;"1";"<Nessun titolo>";"AweR";"";"1";"43.5607";"27.8261";"1510654178000";"1510654178000"
31;"1";"<Nessun titolo>";"Zabou";"";"1";"51.5271";"-0.055496";"1510654178000";"1510654178000"
32;"1";"Dismaland";"Banksy";"";"1";"51.3409";"-2.97991";"1510654178000";"1510654178000"
33;"1";"<Nessun titolo>";"Banksy";"";"1";"50.9648";"1.8394";"1510654178000";"1510654178000"
34;"1";"Europe";"BEZT";"";"1";"49.4904";"8.46239";"1510654178000";"1510654178000"
35;"1";"Meanwhile";"Bifido";"";"1";"51.5494";"0.070643";"1510654178000";"1510654178000"
36;"1";"<Nessun titolo>";"BIK ISMO";"";"1";"36.1689";"-115.137";"1510654178000";"1510654178000"
37;"1";"<Nessun titolo>";"BIK ISMO";"";"1";"25.8039";"-80.2018";"1510654178000";"1510654178000"
38;"1";"Big fish in a small pond";"Bisser";"";"1";"51.0483";"3.74223";"1510654178000";"1510654178000"
39;"1";"<Nessun titolo>";"BLU";"";"1";"40.8542";"14.2481";"1510654178000";"1510654178000"
40;"1";"<Nessun titolo>";"BLU";"";"1";"41.928";"12.5666";"1510654178000";"1510654178000"
41;"1";"<Nessun titolo>";"Bordalo II";"";"1";"44.8491";"-0.560885";"1510654178000";"1510654178000"
42;"1";"<Nessun titolo>";"Borondo";"";"1";"52.4986";"13.3595";"1510654178000";"1510654178000"
43;"1";"<Nessun titolo>";"Bosoletti";"";"1";"-34.9645";"-54.9512";"1510654178000";"1510654178000"
44;"1";"<Nessun titolo>";"Brusk";"";"1";"-22.8966";"-43.1869";"1510654178000";"1510654178000"
45;"1";"Streetoceros";"Brusk";"";"1";"45.4335";"4.3931";"1510654178000";"1510654178000"
46;"1";"<Nessun titolo>";"C215";"";"1";"40.4225";"-3.70485";"1510654178000";"1510654178000"
47;"1";"<Nessun titolo>";"Caratoes";"";"1";"51.5364";"-0.07417";"1510654178000";"1510654178000"
48;"1";"Rest";"Case MaClaim";"";"1";"26.7166";"-80.051";"1510654178000";"1510654178000"
49;"1";"Cruel face of international terrorism";"Case MaClaim";"";"1";"41.0154";"28.9332";"1510654178000";"1510654178000"
50;"1";"<Nessun titolo>";"Case MaClaim";"";"1";"40.7008";"-73.9188";"1510654178000";"1510654178000"
51;"1";"<Nessun titolo>";"Case MaClaim";"";"1";"53.4855";"-2.23336";"1510654178000";"1510654178000"
52;"1";"<Nessun titolo>";"Cbloxx & AYLO of Nomad Clan";"";"1";"53.4096";"-2.98978";"1510654178000";"1510654178000"
53;"1";"<Nessun titolo>";"Christina Angelina";"";"1";"54.6042";"-5.93089";"1510654178000";"1510654178000"
54;"1";"<Nessun titolo>";"Conor Harrington";"";"1";"51.583";"-0.016995";"1510654178000";"1510654178000"
55;"1";"Study of Integration";"Corn79";"";"1";"45.9154";"11.0322";"1510654178000";"1510654178000"
56;"1";".PRIMA.";"Daniel Eime";"";"1";"40.6699";"-7.89554";"1510654178000";"1510654178000"
57;"1";"<Nessun titolo>";"Daniel Padure";"";"1";"37.108";"-8.67215";"1510654178000";"1510654178000"
58;"1";"<Nessun titolo>";"DANK";"";"1";"51.5613";"-0.136824";"1510654178000";"1510654178000"
59;"1";"The Light Guard";"DANK";"";"1";"45.497";"9.22438";"1510654178000";"1510654178000"
60;"1";"<Nessun titolo>";"David MEGGS Hooke";"";"1";"34.0431";"-118.234";"1510654178000";"1510654178000"
61;"1";"<Nessun titolo>";"David Walker";"";"1";"50.7234";"1.60282";"1510654178000";"1510654178000"
62;"1";"<Nessun titolo>";"Deih";"";"1";"67.133";"16.0766";"1510654178000";"1510654178000"
63;"1";"We humans only can watch at cosmos face trapped by our own limit’s perception";"Deih";"";"0";"50.9698";"4.68626";"1510654178000";"1510654178000"
64;"1";"Toy Town - Ginger Doll";"Dotmasters";"";"1";"51.372";"-0.100436";"1510654178000";"1510654178000"
65;"1";"Reflexion // Respect";"Dourone";"";"1";"50.7257";"1.60787";"1510654178000";"1510654178000"
66;"1";"The last breeding pair";"Dulk";"";"1";"49.5324";"5.76111";"1510654178000";"1510654178000"
