user_id,"user_fb_token","user_gp_token",banned,"ban_expiry","register_date",published_id,"published_title","published_description",published_lat,published_lng,"published_send_date","published_confirmation_date"
25,"10289656733128031","49123721886759640",0,"0","1551597653000",1,"Rise Day","Description example",51.6835,59.8777,"1551456416000","1551456887000"
20,"23977547129099295","53933619364270938",0,"0","1551565963000",2,"Story The","Description example",2.683,-61.7386,"1551456416000","1551456832000"
121,"15672066688110041","21012932211602919",0,"0","1552110646000",3,"and One","Description example",39.1533,-116.2326,"1551456416000","1551456595000"
186,"29353029419768301","66420769827097127",0,"0","1552434955000",4,"What Dismaland","Description example",52.8468,132.6258,"1551456416000","1551456758000"
36,"18834484101414725","41702627308310708",0,"0","1551644042000",5,"Relics Don’t","Description example",-4.4915,-45.2154,"1551456416000","1551456711000"
74,"37366129255170511","05917872516317098",0,"0","1551835712000",6,"Jungle Butterfly","Description example",53.1866,55.4644,"1551456416000","1551456904000"
10,"52455541029453307","46410158399114713",0,"0","1551516996000",7,"Blind Ronald’s","Description example",47.5904,-72.8629,"1551456416000","1551456613000"
348,"66432175128980948","66503194087926328",0,"0","1553280365000",8,"Act Grow","Description example",9.676,-0.3277,"1551456416000","1551456558000"
171,"66373247944769631","68951879681026909",0,"0","1552360693000",9,"the Rain","Description example",6.2353,9.088,"1551456416000","1551456798000"
417,"66730008034694455","86275594404604299",0,"0","1553622958000",10,"Reflexion Ginger","Description example",35.5374,10.5296,"1551456416000","1551456591000"
96,"09625956459857316","98973067463108804",0,"0","1551973045000",11,"of and","Description example",43.8829,100.5252,"1551456416000","1551456759000"
47,"81706297063161405","99130803990168967",0,"0","1551693714000",12,"Neighbour Meanwhile","Description example",46.0279,92.6389,"1551456416000","1551456574000"
107,"03361552215516560","40896142235691297",0,"0","1552038652000",13,"city Reflexion","Description example",26.1191,18.9799,"1551456416000","1551456792000"
464,"73493911411371028","78428597581441276",0,"0","1553881321000",14,"After of","Description example",48.3729,-90.0528,"1551456416000","1551456892000"
399,"32641341518624604","72718733264084416",0,"0","1553528118000",15,"Jungle Harriet","Description example",41.6239,-120.4549,"1551456416000","1551456595000"
162,"55573116339474702","18063871882438061",0,"0","1552322600000",16,"Fleet Reminiscence","Description example",45.8872,97.2296,"1551456416000","1551456626000"
446,"90670790042142257","92555664130376062",0,"0","1553783098000",17,"Seeker Relics","Description example",50.3495,-62.8215,"1551456416000","1551456459000"
174,"05250277971393294","49683964322348830",0,"0","1552377226000",18,"Stages When","Description example",-13.632,35.5574,"1551456416000","1551456698000"
383,"64799466981018173","79041523806067132",0,"0","1553448949000",19,"Efêmero Nelu","Description example",-8.552,-71.1969,"1551456416000","1551456600000"
391,"66822120926829332","93740257228118240",0,"0","1553491894000",20,"Imperishable Birds","Description example",-23.0659,-64.8093,"1551456416000","1551456612000"
306,"68097750815253243","63599513234773445",0,"0","1553067228000",21,"Meanwhile Final","Description example",8.9801,-10.4545,"1551456416000","1551456695000"
387,"79832556135274881","01074695150612283",0,"0","1553472782000",22,"Tortoise Seasons","Description example",41.499,84.3592,"1551456416000","1551456830000"
216,"55967179384840278","57770710681670873",0,"0","1552586841000",23,"Nitpicking Big","Description example",-0.688,132.5936,"1551456416000","1551456848000"
143,"24315594359016487","71231498674666161",0,"0","1552197951000",24,"Insomnia Behind","Description example",46.4882,24.7217,"1551456416000","1551456813000"
276,"40687644903772338","65002989342780853",0,"0","1552920734000",25,"terrorism White","Description example",45.5375,117.426,"1551456416000","1551456610000"
33,"51434081259379632","11287035425310602",0,"0","1551625666000",26,".PRIMA. Seeker","Description example",25.6811,61.2472,"1551456416000","1551456869000"
142,"22732859931026952","79289033328437486",0,"0","1552191493000",27,"Rotation breeding","Description example",31.584,10.5057,"1551456416000","1551456524000"
157,"63853825632997966","22237886338661060",0,"0","1552285681000",28,"Launcher Zattera","Description example",24.7931,-1.8732,"1551456416000","1551456439000"
